id_alojamiento;nombre;departamento;municipio;tipo;direccion;precio_noche;amenidades
1000;Alojamiento_1000;Antioquia;Itagui;apartamento;Calle 90 #43-64;126585;patio,piscina,caja fuerte
1001;Alojamiento_1001;Antioquia;Itagui;casa;Calle 49 #44-53;129212;wifi,bbq,patio,piscina,lavadora,ascensor
1002;Alojamiento_1002;Antioquia;Bello;apartamento;Calle 91 #70-37;142092;parqueadero,lavadora,aire acondicionado,bbq
1003;Alojamiento_1003;Antioquia;Envigado;apartamento;Calle 24 #71-51;117343;parqueadero,aire acondicionado,ascensor,lavadora,tv,wifi
1004;Alojamiento_1004;Antioquia;Envigado;apartamento;Calle 13 #24-30;47927;ascensor,tv,bbq,wifi,patio,lavadora
1005;Alojamiento_1005;Antioquia;Itagui;casa barrio;Calle 1 #85-81;66173;caja fuerte,bbq,tv,ascensor
1006;Alojamiento_1006;Antioquia;Itagui;casa;Calle 8 #2-11;51713;aire acondicionado,tv,caja fuerte,wifi
1007;Alojamiento_1007;Antioquia;Envigado;apartamento;Calle 98 #66-15;90939;patio,piscina,tv
1008;Alojamiento_1008;Antioquia;Itagui;casa barrio;Calle 70 #69-84;27255;parqueadero,patio,bbq,piscina,aire acondicionado,ascensor
1009;Alojamiento_1009;Antioquia;Itagui;casa barrio;Calle 87 #58-6;89121;tv,wifi,aire acondicionado,caja fuerte
1010;Alojamiento_1010;Antioquia;Envigado;casa;Calle 90 #43-64;107054;caja fuerte,parqueadero,bbq,lavadora,piscina,patio
1011;Alojamiento_1011;Antioquia;Envigado;casa;Calle 94 #65-42;123235;tv,bbq,ascensor,wifi,lavadora
1012;Alojamiento_1012;Antioquia;Rionegro;apartamento;Calle 76 #28-83;126867;wifi,piscina,patio,ascensor,caja fuerte,bbq
1013;Alojamiento_1013;Antioquia;Bello;apartamento;Calle 41 #64-95;88731;parqueadero,caja fuerte,piscina,bbq
1014;Alojamiento_1014;Antioquia;Envigado;casa barrio;Calle 89 #71-84;147712;patio,aire acondicionado,bbq,parqueadero,tv,caja fuerte
1015;Alojamiento_1015;Antioquia;Medellin;casa barrio;Calle 10 #79-17;46084;piscina,aire acondicionado,lavadora
1016;Alojamiento_1016;Antioquia;Bello;apartamento;Calle 99 #23-29;78888;patio,parqueadero,aire acondicionado
1017;Alojamiento_1017;Antioquia;Bello;apartamento;Calle 28 #1-49;137842;ascensor,aire acondicionado,tv,parqueadero,piscina
1018;Alojamiento_1018;Antioquia;Bello;casa;Calle 81 #94-79;81584;ascensor,piscina,aire acondicionado,parqueadero
1019;Alojamiento_1019;Antioquia;Medellin;casa;Calle 74 #5-25;73033;aire acondicionado,parqueadero,piscina
1020;Alojamiento_1020;Antioquia;Envigado;casa;Calle 72 #61-85;70023;parqueadero,piscina,caja fuerte
1021;Alojamiento_1021;Antioquia;Rionegro;casa;Calle 55 #98-34;68721;caja fuerte,parqueadero,wifi,aire acondicionado,piscina,lavadora
1022;Alojamiento_1022;Antioquia;Itagui;casa;Calle 98 #66-15;112624;caja fuerte,wifi,piscina,aire acondicionado,ascensor,parqueadero
1023;Alojamiento_1023;Antioquia;Bello;casa barrio;Calle 7 #58-57;95084;lavadora,patio,piscina
1024;Alojamiento_1024;Antioquia;Envigado;casa barrio;Calle 1 #85-81;68843;tv,lavadora,wifi
1025;Alojamiento_1025;Antioquia;Rionegro;apartamento;Calle 13 #24-30;115525;tv,patio,aire acondicionado
